Player Code,Game Code,Last Name,First Name,Pass Att,Pass Yard,Pass TD,Pass Int
1022870,688000520100904,Alexander,Bill,0,0,0,0
1022870,5033420100918,Alexander,Bill,0,0,0,0
1022870,503000520101002,Alexander,Bill,0,0,0,0
1022870,5051920101016,Alexander,Bill,0,0,0,0
1022870,774000520101023,Alexander,Bill,0,0,0,0
1022870,86000520101126,Alexander,Bill,0,0,0,0
85455,688000520100904,Allen,Alex,0,0,0,0
85455,1092000520100911,Allen,Alex,0,0,0,0
85455,5033420100918,Allen,Alex,0,0,0,0
85455,5030620100925,Allen,Alex,0,0,0,0
85455,503000520101002,Allen,Alex,0,0,0,0
85455,5033120101009,Allen,Alex,0,0,0,0
85455,5051920101016,Allen,Alex,0,0,0,0
85455,774000520101023,Allen,Alex,0,0,0,0
85455,5069020101030,Allen,Alex,0,0,0,0
85455,5004720101106,Allen,Alex,0,0,0,0
85455,414000520101117,Allen,Alex,1,13,0,0
85455,86000520101126,Allen,Alex,0,0,0,0
1007928,5033120101009,Anderson,Jake,0,0,0,0
1007928,5051920101016,Anderson,Jake,0,0,0,0
1030820,688000520100904,Bailey,Austin,0,0,0,0
1030820,1092000520100911,Bailey,Austin,0,0,0,0
1030820,5030620100925,Bailey,Austin,0,0,0,0
1030820,5033120101009,Bailey,Austin,0,0,0,0
1030820,5051920101016,Bailey,Austin,0,0,0,0
1030820,5004720101106,Bailey,Austin,0,0,0,0
1030820,86000520101126,Bailey,Austin,0,0,0,0
1030813,503000520101002,Blake,Micklos,0,0,0,0
1030812,1092000520100911,Bowers,Giorgio,0,0,0,0
1030812,5033420100918,Bowers,Giorgio,0,0,0,0
1030812,5030620100925,Bowers,Giorgio,0,0,0,0
1030812,503000520101002,Bowers,Giorgio,0,0,0,0
1000023,5004720101106,Brown,Curtis,0,0,0,0
1015201,688000520100904,Burney,Nate,0,0,0,0
1015201,1092000520100911,Burney,Nate,0,0,0,0
1015201,5033420100918,Burney,Nate,0,0,0,0
1015201,5030620100925,Burney,Nate,0,0,0,0
1015201,503000520101002,Burney,Nate,0,0,0,0
1015201,5033120101009,Burney,Nate,0,0,0,0
1015201,5051920101016,Burney,Nate,0,0,0,0
1015201,774000520101023,Burney,Nate,0,0,0,0
1015201,5069020101030,Burney,Nate,0,0,0,0
1015201,5004720101106,Burney,Nate,0,0,0,0
1015201,414000520101117,Burney,Nate,0,0,0,0
1015201,86000520101126,Burney,Nate,0,0,0,0
1015215,5033420100918,Byrd,Marvase,0,0,0,0
1015215,5030620100925,Byrd,Marvase,0,0,0,0
1007929,688000520100904,Campbell,Zack,0,0,0,0
1007929,1092000520100911,Campbell,Zack,0,0,0,0
1007929,5033420100918,Campbell,Zack,0,0,0,0
1007929,5030620100925,Campbell,Zack,0,0,0,0
1007929,503000520101002,Campbell,Zack,0,0,0,0
1007929,5033120101009,Campbell,Zack,0,0,0,0
1007929,5051920101016,Campbell,Zack,0,0,0,0
1007929,774000520101023,Campbell,Zack,0,0,0,0
1007929,5069020101030,Campbell,Zack,0,0,0,0
1007929,5004720101106,Campbell,Zack,0,0,0,0
1007929,414000520101117,Campbell,Zack,0,0,0,0
1007929,86000520101126,Campbell,Zack,0,0,0,0
1030827,1092000520100911,Caponi,Nico,0,0,0,0
1030827,5030620100925,Caponi,Nico,0,0,0,0
1030827,503000520101002,Caponi,Nico,0,0,0,0
1030827,5033120101009,Caponi,Nico,0,0,0,0
1030827,5051920101016,Caponi,Nico,0,0,0,0
1030827,774000520101023,Caponi,Nico,0,0,0,0
1030827,5004720101106,Caponi,Nico,0,0,0,0
1030827,414000520101117,Caponi,Nico,0,0,0,0
1030827,86000520101126,Caponi,Nico,0,0,0,0
1007905,688000520100904,Carter,Jalil,0,0,0,0
1007905,1092000520100911,Carter,Jalil,0,0,0,0
1007905,5033420100918,Carter,Jalil,0,0,0,0
1007905,5030620100925,Carter,Jalil,0,0,0,0
1007905,503000520101002,Carter,Jalil,0,0,0,0
1007905,5033120101009,Carter,Jalil,0,0,0,0
1007905,5051920101016,Carter,Jalil,0,0,0,0
1007905,774000520101023,Carter,Jalil,0,0,0,0
1007905,5004720101106,Carter,Jalil,0,0,0,0
1007905,414000520101117,Carter,Jalil,0,0,0,0
1007905,86000520101126,Carter,Jalil,0,0,0,0
1030816,503000520101002,Cunningham,Seth,0,0,0,0
1030816,774000520101023,Cunningham,Seth,0,0,0,0
1015206,688000520100904,Davis,Kevin,0,0,0,0
1015206,1092000520100911,Davis,Kevin,0,0,0,0
1015206,5033420100918,Davis,Kevin,0,0,0,0
